ticker,holder_name,portfolio_name,source,amount_held,pct_outstanding,latest_change,filing_date,institution_type,country,metro_area,etf_label,ticker_raw
ICLO US Equity,LPL Financial LLC,LPL Financial LLC,13F,3384749.0,20.7,939632.0,2025-12-31,Brokerage,United States,Boston,ICLO (Invesco CLO),ICLO
ICLO US Equity,Invesco Ltd,,ULT-AGG,1609096.0,9.84,0.0,2026-01-30,Investment Advisor,United States,Atlanta,ICLO (Invesco CLO),ICLO
ICLO US Equity,Bank of New York Mel,,ULT-AGG,1100800.0,6.73,1563.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,ICLO (Invesco CLO),ICLO
ICLO US Equity,AE Wealth Management,AE Wealth Management,13F,990873.0,6.06,44857.0,2025-12-31,Investment Advisor,United States,Kansas City,ICLO (Invesco CLO),ICLO
ICLO US Equity,Modern Wealth Manage,Modern Wealth Manage,13F,399906.0,2.45,6861.0,2025-12-31,Investment Advisor,United States,Kansas City,ICLO (Invesco CLO),ICLO
ICLO US Equity,Private Advisor Grou,Private Advisor Grou,13F,389848.0,2.38,94558.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,ICLO (Invesco CLO),ICLO
ICLO US Equity,Kingsview Wealth Man,Kingsview Wealth Man,13F,337345.0,2.06,-12516.0,2025-12-31,Investment Advisor,United States,Unclassified,ICLO (Invesco CLO),ICLO
ICLO US Equity,Flagship Harbor Advi,Flagship Harbor Advi,13F,306059.0,1.87,21944.0,2025-12-31,Investment Advisor,United States,Boston,ICLO (Invesco CLO),ICLO
ICLO US Equity,Rooted Wealth Adviso,Rooted Wealth Adviso,13F,241051.0,1.47,290.0,2025-12-31,Investment Advisor,United States,Chicago,ICLO (Invesco CLO),ICLO
ICLO US Equity,Wealth Enhancement G,,ULT-AGG,203793.0,1.25,-27810.0,2025-12-31,Holding Company,United States,Minneapolis/St. Paul,ICLO (Invesco CLO),ICLO
ICLO US Equity,Elevatus Wealth Mana,Elevatus Wealth Mana,13F,173450.0,1.06,125433.0,2025-12-31,Investment Advisor,United States,Rochester,ICLO (Invesco CLO),ICLO
ICLO US Equity,Arax Investment Part,Multiple Portfolios,MF-AGG,172736.0,1.06,32913.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,ICLO (Invesco CLO),ICLO
ICLO US Equity,Elm3 Financial Group,Elm3 Financial Group,13F,159783.0,0.98,-58603.0,2025-12-31,Investment Advisor,United States,Atlanta,ICLO (Invesco CLO),ICLO
ICLO US Equity,Ritholtz Wealth Mana,Ritholtz Wealth Mana,13F,156510.0,0.96,156510.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,ICLO (Invesco CLO),ICLO
ICLO US Equity,Garden State Investm,Garden State Investm,13F,142671.0,0.87,17485.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,ICLO (Invesco CLO),ICLO
ICLO US Equity,ASL Financial LLC,ASL Financial LLC,13F,132828.0,0.81,132828.0,2025-12-31,Investment Advisor,United States,San Francisco/San Jose,ICLO (Invesco CLO),ICLO
ICLO US Equity,Connecticut Capital,Connecticut Capital,13F,130025.0,0.8,130025.0,2025-12-31,Investment Advisor,United States,Hartford,ICLO (Invesco CLO),ICLO
ICLO US Equity,Asset Allocation Str,Asset Allocation Str,13F,126439.0,0.77,9953.0,2025-12-31,Hedge Fund Manager,United States,Detroit,ICLO (Invesco CLO),ICLO
ICLO US Equity,San Luis Wealth Advi,San Luis Wealth Advi,13F,110145.0,0.67,15407.0,2025-12-31,Investment Advisor,United States,Los Angeles/Pasadena,ICLO (Invesco CLO),ICLO
ICLO US Equity,Colonial River Wealt,Colonial River Wealt,13F,106026.0,0.65,10897.0,2025-12-31,Investment Advisor,United States,Richmond,ICLO (Invesco CLO),ICLO
